text,intent,domain,split,in_scope
what expression would i use to say i love you if i were an italian,translate,travel,train,True
"can you tell me how to say 'i do not speak much spanish', in spanish",translate,travel,train,True
"what is the equivalent of, 'life is good' in french",translate,travel,train,True
"tell me how to say, 'it is a beautiful morning' in italian",translate,travel,train,True
"if i were mongolian, how would i say that i am a tourist",translate,travel,train,True
how do i say 'hotel' in finnish,translate,travel,train,True
"i need you to translate the sentence, 'we will be there soon' into portuguese",translate,travel,train,True
please tell me how to ask for a taxi in french,translate,travel,train,True
"can you tell me how i would say, 'more bread please' in french",translate,travel,train,True
what is the correct way to say 'i am a visitor' in french,translate,travel,train,True
"how would i say, 'i don't know the answer' in spanish",translate,travel,train,True
i would like to know the proper way to greet an adult in portuguese,translate,travel,train,True
what words would i use to tell someone i am lost if i were japanese,translate,travel,train,True
how would i say thank you if i were russian,translate,travel,train,True
can you tell me how i would normally say thank you as a french person,translate,travel,train,True
i would like to know how to say hello in french,translate,travel,train,True
if i were english how would i say subway,translate,travel,train,True
i would i say subway if i were english,translate,travel,train,True
how do you say hi in french,translate,travel,train,True
in england how do they say subway,translate,travel,train,True
translate hello in french,translate,travel,train,True
how is hello said in french,translate,travel,train,True
what do you call a subway if you were english,translate,travel,train,True
how would i say if i were english subway,translate,travel,train,True
how should i say hello in french,translate,travel,train,True
how could i say twin in chinese,translate,travel,train,True
how can i say not now in spanish,translate,travel,train,True
what do spanish people say for the word cow,translate,travel,train,True
translate hello to english,translate,travel,train,True
how do you say goodbye in spanish,translate,travel,train,True
how would i say love in french,translate,travel,train,True
could you translate atm machine into english,translate,travel,train,True
please translate grocery into french for me,translate,travel,train,True
how do germans say goodnight,translate,travel,train,True
tell me how the russians say notebook,translate,travel,train,True
how do vietnameses people say hello,translate,travel,train,True
how do i say thank you in japanese,translate,travel,train,True
what is latin for i love you,translate,travel,train,True
how can i thank somebody in italian,translate,travel,train,True
how do i say you're welcome in chinese,translate,travel,train,True
translate hello english to french,translate,travel,train,True
what is hello in french,translate,travel,train,True
what phrase means goodbye in hawaii,translate,travel,train,True
what spanish word means hello,translate,travel,train,True
translate hello to french,translate,travel,train,True
translate english to french hello,translate,travel,train,True
what is the word for hello spanish,translate,travel,train,True
how do they say goodbye in hawaii,translate,travel,train,True
what's local slang for goodbye in hawaii,translate,travel,train,True
how do you say hello in french,translate,travel,train,True
tell me how to say hello in spanish,translate,travel,train,True
what do i say for goodbye in hawaii,translate,travel,train,True
translate hello into french for me,translate,travel,train,True
how do i say hello in french,translate,travel,train,True
translate for me hello into french,translate,travel,train,True
how would they say say goodbye in hawaii,translate,travel,train,True
what is spanish for hello,translate,travel,train,True
how would i say hello in french,translate,travel,train,True
how can i say i love you in italy,translate,travel,train,True
what is spanish for good morning,translate,travel,train,True
how do you say it's snowing in german,translate,travel,train,True
how would you say can i borrow five dollars in portuguese,translate,travel,train,True
do you know how to say where is the restroom in french,translate,travel,train,True
how would i say pleased to meet you if i were japanese,translate,travel,train,True
can you translate hello into swedish for me,translate,travel,train,True
can you translate i love you into french for me,translate,travel,train,True
can you translate where's the bar into irish for me,translate,travel,train,True
how would i say goodbye if i were norwegian,translate,travel,train,True
how would i say i love you if i were french,translate,travel,train,True
how would i say hello if i were swedish,translate,travel,train,True
can you translate good bye into russian for me,translate,travel,train,True
can you translate i have to go pee into korean for me,translate,travel,train,True
how would i say i'm not guilty if i were mexican,translate,travel,train,True
how do you say thank you in spanish,translate,travel,train,True
how does one say thank you in spanish,translate,travel,train,True
how can i say thank you in spanish,translate,travel,train,True
what is thank you in spanish,translate,travel,train,True
what is the way to say thank you in spanish,translate,travel,train,True
"how do they say ""who is your father"" in german",translate,travel,train,True
"how do they say ""where's the bathroom"" in spanish",translate,travel,train,True
"how do they say ""how's it going"" in swahili",translate,travel,train,True
"how do they say ""i love you"" in japanese",translate,travel,train,True
"how do they say ""what's up"" in chinese",translate,travel,train,True
how do you say thank you in german,translate,travel,train,True
how do you say please in arabic,translate,travel,train,True
how do you say cat in spanish,translate,travel,train,True
how do you say i'm hungry in french,translate,travel,train,True
how do you say i need coffee in dutch,translate,travel,train,True
how do they say yes in brazil,translate,travel,train,True
can you translate cat into russian for me,translate,travel,train,True
can you translate bowl into russian for me,translate,travel,train,True
how do they say hello in france,translate,travel,train,True
i wanna know a phrase in spanish,translate,travel,train,True
can you translate bat into russian for me,translate,travel,train,True
how do they say no in germany,translate,travel,train,True
can you translate hi into spanish for me,translate,travel,train,True
i wanna learn a phrase in russian,translate,travel,train,True
how do they say hello in germany,translate,travel,train,True
can you translate milk into spanish for me,translate,travel,train,True
how do they say hello in brazil,translate,travel,train,True
i need $20000 transferred from my savings to my checking,transfer,banking,train,True
complete a transaction from savings to checking of $20000,transfer,banking,train,True
transfer $20000 from my savings account to checking account,transfer,banking,train,True
take $20000 from savings and put it in checking,transfer,banking,train,True
put $20000 into my checking account from my savings account,transfer,banking,train,True
send 100 dollars between bank of the west and bank of america acccounts,transfer,banking,train,True
send 50 dollars between bank of america and chase accounts,transfer,banking,train,True
send 2000 dollars between chase and rabobank accounts,transfer,banking,train,True
send 1200 dollars between usaa and navy federal accounts,transfer,banking,train,True
send 400 dollars between city bank and usaa accounts,transfer,banking,train,True
